Date,Price,Open,High,Low,Vol.,Change %
10/19/2022,288,,,,,
10/18/2022,288.1,,,,,
10/17/2022,288.3,,,,,
10/16/2022,288.6,,,,,
10/15/2022,289.1,,,,,
10/14/2022,289.8,,,,,
10/13/2022,291,,,,,
10/12/2022,292.9,,,,,
10/10/2022,285,295.4,295.4,281.4,261.36K,-3.52%
10/07/2022,295.4,294,295.4,280,320.60K,1.79%
10/06/2022,290.2,298,298,290.2,259.99K,-2.75%
10/05/2022,298.4,291.4,299.8,291.4,349.72K,2.83%
10/04/2022,290.2,279.8,291.8,278.2,504.66K,4.69%
10/03/2022,277.2,269.6,277.2,265,540.75K,5.40%
09/30/2022,263,286,290,263,729.80K,-8.87%
09/29/2022,288.6,290.2,294.2,286,453.83K,0.49%
09/28/2022,287.2,301,303,287.2,410.89K,-2.84%
09/27/2022,295.6,300.4,300.6,295.2,252.29K,-1.53%
09/23/2022,300.2,301.4,308,300.2,145.40K,-1.57%
09/22/2022,305,301,306.8,300,125.10K,0.00%
09/21/2022,305,301,305.6,300,282.40K,1.33%
09/20/2022,301,303.2,308,301,163.46K,-0.73%
09/19/2022,303.2,313,313,303.2,139.53K,-2.19%
09/16/2022,310,310,313.6,310,318.18K,0.00%
09/15/2022,310,310.2,314.4,310,137.85K,-0.06%
09/14/2022,310.2,315.2,317,310.2,248.61K,-2.15%
09/13/2022,317,317.8,318,315.6,177.49K,-0.31%
09/12/2022,318,318,320,315.4,161.37K,0.00%
09/09/2022,318,315.2,318.2,315.2,61.13K,0.89%
09/08/2022,315.2,313.6,317,311.2,173.15K,-0.69%
09/07/2022,317.4,317,319.8,312.2,55.96K,0.70%
09/06/2022,315.2,321,323,315.2,133.52K,-1.50%
09/05/2022,320,318,320,316,54.13K,0.63%
09/02/2022,318,311.6,318,311,130.14K,2.58%
09/01/2022,310,303,313.2,303,135.86K,2.92%
08/31/2022,301.2,311,316.8,301.2,515.44K,-3.15%
08/30/2022,311,313,318,310.2,454.87K,-0.89%
08/26/2022,313.8,318,318,312.6,205.25K,-1.32%
08/25/2022,318,318,320.4,316,155.25K,0.70%
08/24/2022,315.8,322,322.4,315.8,89.88K,-1.93%
08/23/2022,322,325,325,322,185.37K,-1.23%
08/22/2022,326,326,326.6,324,186.32K,0.00%
08/19/2022,326,325,326,322.6,207.61K,0.93%
08/18/2022,323,325,325.2,323,336.88K,-1.52%
08/17/2022,328,329,332,326.6,356.51K,1.23%
08/16/2022,324,324,327,322,340.15K,0.12%
08/15/2022,323.6,329,329.8,323.6,353.33K,-1.64%
08/12/2022,329,325,329,320.2,276.96K,1.23%
08/11/2022,325,316,325,315.6,291.54K,4.37%
08/10/2022,311.4,314,316.2,311,589.02K,-1.14%
08/09/2022,315,319.8,322.8,312.8,705.97K,-1.50%
08/08/2022,319.8,316.6,319.8,316,262.32K,1.20%
08/05/2022,316,319,324.4,316,541.96K,-0.19%
08/04/2022,316.6,313.4,318.2,310.2,763.39K,1.47%
08/03/2022,312,324.6,326.6,310,973.69K,-3.11%
08/02/2022,322,327.4,333.2,320.2,520.37K,-1.59%
08/01/2022,327.2,340,340,325.6,781.11K,-3.76%
07/29/2022,340,348,350,338,1.58M,-7.10%
07/28/2022,366,364.2,366,362.2,328.23K,0.00%
07/27/2022,366,359,366,355.2,138.59K,2.23%
07/26/2022,358,354,358.8,354,82.27K,1.13%
07/25/2022,354,352.8,354,350,75.09K,0.00%
07/22/2022,354,354,354.8,352.2,168.02K,-0.23%
07/21/2022,354.8,359,359.6,351.4,248.65K,-0.67%
07/20/2022,357.2,369,369,357.2,370.09K,-3.35%
07/19/2022,369.6,356,369.6,356,135.88K,1.82%
07/18/2022,363,360,363,358.2,108.62K,0.00%
07/15/2022,363,353.8,363,350,240.53K,2.54%
07/14/2022,354,347.2,354,347.2,222.94K,1.14%
07/13/2022,350,353.8,354,346,223.10K,-1.07%
07/12/2022,353.8,354,354,353,69.33K,-0.06%
07/11/2022,354,351,354,347.2,63.38K,1.14%
07/08/2022,350,350.2,358,346.4,327.44K,0.00%
07/07/2022,350,358,359,350,131.61K,-2.23%
07/06/2022,358,358.6,359.8,353.6,124.41K,-0.28%
07/05/2022,359,351,359,351,83.91K,2.28%
07/04/2022,351,353,355.8,351,75.71K,-0.57%
07/01/2022,353,358,358,351,576.00K,-1.94%
06/30/2022,360,355,360,349,239.18K,1.41%
06/29/2022,355,360,360,352.6,130.55K,-0.84%
06/28/2022,358,352.2,359.8,352.2,243.87K,1.42%
06/27/2022,353,357,358,353,124.43K,-1.12%
06/24/2022,357,370,372.8,357,637.87K,-3.51%
06/23/2022,370,371,372,368.4,184.34K,-0.32%
06/22/2022,371.2,372,373,369.4,172.34K,0.05%
06/21/2022,371,369.6,371.6,365.2,418.92K,0.43%
06/20/2022,369.4,365,369.4,362,83.85K,1.21%
06/17/2022,365,363.8,366.8,358,319.78K,0.00%
06/16/2022,365,358,365,357,146.18K,1.39%
06/15/2022,360,357.4,360,356.4,122.19K,0.00%
06/14/2022,360,360.2,360.2,357,72.35K,0.00%
06/13/2022,360,360.2,360.2,357.2,101.32K,-0.11%
06/10/2022,360.4,368.8,368.8,359,169.59K,-2.59%
06/09/2022,370,363,370,359,94.77K,1.93%
06/08/2022,363,362,367.8,361.2,144.16K,0.55%
06/07/2022,361,361.2,363,360,137.10K,-0.06%
06/06/2022,361.2,369,369,358.2,129.69K,-2.11%
06/03/2022,369,360.4,370,360,168.72K,1.93%
