Egg Number,Width,Height,Egg Shape Index,Sphericity,Eccentricity,Sex
136,1033,710,0.6873184898,0.4329251521,0.7263561754,0
137,992,766,0.7721774194,0.6138892509,0.6354069822,1
138,978,756,0.773006135,0.6158678861,0.6343985461,1
139,1042,761,0.7303262956,0.5193851759,0.683098457,0
140,1006,712,0.7077534791,0.4726990999,0.7064594913,0
141,1025,742,0.723902439,0.5058000364,0.6899023545,0
142,1049,787,0.7502383222,0.5630363954,0.6611674976,0
143,1101,760,0.6902815622,0.4385484259,0.7235408522,0
144,1033,746,0.7221684414,0.5021740359,0.6917172415,0
145,1059,750,0.7082152975,0.4736250307,0.7059965244,0
146,1003,752,0.7497507478,0.5619393688,0.6617203459,0
147,1051,759,0.7221693625,0.5021759574,0.6917162799,0
148,1020,751,0.7362745098,0.5321793667,0.6766829732,0
149,1070,778,0.7271028037,0.5125381471,0.6865285958,0
150,1023,757,0.7399804497,0.5402558447,0.6726283774,0
151,1020,789,0.7735294118,0.617119445,0.6337604036,1
152,981,717,0.7308868502,0.5205820406,0.6824986537,0
153,1002,740,0.7385229541,0.5370697987,0.6742283339,0
154,989,731,0.7391304348,0.5383962083,0.6735623211,0
155,1089,795,0.7300275482,0.5187480573,0.6834177192,0
156,954,744,0.7798742138,0.6324299362,0.6259362672,1
157,968,791,0.8171487603,0.7275152732,0.5764268414,1
158,1008,781,0.7748015873,0.6201692689,0.6322044767,1
159,1089,749,0.6877869605,0.4338109904,0.7259125959,0
160,1003,739,0.7367896311,0.5332971377,0.6761220596,0
161,1021,766,0.750244858,0.5630511103,0.6611600813,0
162,927,734,0.7918015102,0.6618928869,0.6107784937,1
163,1021,734,0.7189030362,0.4953927998,0.6951103686,0
164,978,749,0.7658486708,0.5989183581,0.64302085,1
165,957,757,0.7910135841,0.6599188925,0.6117985859,1
166,1021,768,0.7522037218,0.5674729576,0.6589306191,0
167,1003,749,0.7467597208,0.5552408248,0.6650939177,0
168,1059,762,0.7195467422,0.4967247162,0.694444012,0
169,1037,759,0.7319189971,0.52279063,0.6813916507,0
170,926,722,0.7796976242,0.6320004235,0.6261562224,1
171,1058,772,0.7296786389,0.5180046216,0.6837902338,0
172,989,731,0.7391304348,0.5383962083,0.6735623211,0
173,1023,755,0.7380254154,0.5359850674,0.6747729145,0
174,991,748,0.7547931382,0.5733536304,0.6559628941,0
175,999,752,0.7527527528,0.5687164544,0.6583033444,0
176,1028,753,0.7324902724,0.5240157268,0.6807774973,0
177,1005,767,0.7631840796,0.5926886945,0.6461811361,0
178,932,703,0.7542918455,0.5722120176,0.6565392691,0
179,983,754,0.7670396745,0.6017169157,0.641599671,1
180,978,716,0.7321063395,0.5231921741,0.6811903608,0
181,994,790,0.7947686117,0.6693616974,0.6069125587,1
182,982,725,0.7382892057,0.5365599995,0.6744842835,0
183,1066,782,0.7335834897,0.5263654582,0.6795993405,0
184,1046,752,0.7189292543,0.495447002,0.6950832521,0
185,951,745,0.7833859096,0.6410117702,0.6215356118,1
186,967,755,0.7807652534,0.6346001483,0.6248244707,1
187,1026,766,0.746588694,0.5548594195,0.665285895,0
188,1020,737,0.7225490196,0.5029683819,0.6913196903,0
189,992,788,0.7943548387,0.668316791,0.6074540231,1
190,1028,764,0.7431906615,0.5473176686,0.6690796968,0
191,999,746,0.7467467467,0.5552118852,0.6651084846,0
192,1040,731,0.7028846154,0.4630105103,0.7113038854,0
193,996,734,0.7369477912,0.5336406458,0.6759496676,0
194,1046,763,0.7294455067,0.517508273,0.6840389264,0
195,1048,770,0.7347328244,0.5288433701,0.6783566,0
196,984,770,0.7825203252,0.6388893031,0.6226250402,1
197,968,767,0.7923553719,0.6632828321,0.6100598041,1
198,964,727,0.7541493776,0.5718878468,0.6567029133,0
199,1060,769,0.7254716981,0.5090965573,0.6882519998,0
200,993,742,0.7472306143,0.5562918623,0.6645648268,0
201,994,774,0.7786720322,0.6295097565,0.6274311646,1
