Egg Number,Width ,Height,Width conversion,Height Conversion,Eccentricity,Sex
147,1051,759,525.5,379.5,0.6917162799,0
148,1020,751,510,375.5,0.6766829732,0
149,1070,778,535,389,0.6865285958,0
150,1023,757,511.5,378.5,0.6726283774,0
151,1020,789,510,394.5,0.6337604036,1
152,981,717,490.5,358.5,0.6824986537,0
153,1002,740,501,370,0.6742283339,0
154,989,731,494.5,365.5,0.6735623211,0
155,1089,795,544.5,397.5,0.6834177192,0
156,954,744,477,372,0.6259362672,1
157,968,791,484,395.5,0.5764268414,1
158,1008,781,504,390.5,0.6322044767,1
159,1089,749,544.5,374.5,0.7259125959,0
160,1003,739,501.5,369.5,0.6761220596,0
161,1021,766,510.5,383,0.6611600813,0
162,927,734,463.5,367,0.6107784937,1
163,1021,734,510.5,367,0.6951103686,0
164,978,749,489,374.5,0.64302085,1
165,957,757,478.5,378.5,0.6117985859,1
166,1021,768,510.5,384,0.6589306191,0
167,1003,749,501.5,374.5,0.6650939177,0
168,1059,762,529.5,381,0.694444012,0
169,1037,759,518.5,379.5,0.6813916507,0
170,926,722,463,361,0.6261562224,1
171,1058,772,529,386,0.6837902338,0
172,989,731,494.5,365.5,0.6735623211,0
173,1023,755,511.5,377.5,0.6747729145,0
174,991,748,495.5,374,0.6559628941,0
175,999,752,499.5,376,0.6583033444,0
176,1028,753,514,376.5,0.6807774973,0
177,1005,767,502.5,383.5,0.6461811361,0
178,932,703,466,351.5,0.6565392691,0
179,983,754,491.5,377,0.641599671,1
180,978,716,489,358,0.6811903608,0
181,994,790,497,395,0.6069125587,1
182,982,725,491,362.5,0.6744842835,0
183,1066,782,533,391,0.6795993405,0
184,1046,752,523,376,0.6950832521,0
185,951,745,475.5,372.5,0.6215356118,1
186,967,755,483.5,377.5,0.6248244707,1
187,1026,766,513,383,0.665285895,0
188,1020,737,510,368.5,0.6913196903,0
189,992,788,496,394,0.6074540231,1
190,1028,764,514,382,0.6690796968,0
191,999,746,499.5,373,0.6651084846,0
192,1040,731,520,365.5,0.7113038854,0
193,996,734,498,367,0.6759496676,0
194,1046,763,523,381.5,0.6840389264,0
195,1048,770,524,385,0.6783566,0
196,984,770,492,385,0.6226250402,1
197,968,767,484,383.5,0.6100598041,1
198,964,727,482,363.5,0.6567029133,0
199,1060,769,530,384.5,0.6882519998,0
200,993,742,496.5,371,0.6645648268,0
201,994,774,497,387,0.6274311646,1
202,947,720,473.5,360,0.6495771651,0
203,1060,773,530,386.5,0.6842523783,0
204,1081,742,540.5,371,0.727222805,0
205,1042,765,521,382.5,0.678971026,0
206,1032,767,516,383.5,0.6690503795,0
207,1075,783,537.5,391.5,0.6851817964,0
208,1037,749,518.5,374.5,0.691605144,0
209,972,728,486,364,0.6626025592,0
210,993,740,496.5,370,0.6668225738,0
211,1096,789,548,394.5,0.6940876402,0
212,1039,762,519.5,381,0.6798000519,0
213,1019,753,509.5,376.5,0.6737495577,0
214,1017,775,508.5,387.5,0.6475237955,0
215,1040,768,520,384,0.6742956,0
216,934,726,467,363,0.6291277406,1
217,1043,788,521.5,394,0.6551337209,0
218,980,771,490,385.5,0.6172912776,1
219,1051,766,525.5,383,0.6846950334,0
220,982,747,491,373.5,0.6491124515,0
221,1073,757,536.5,378.5,0.7087113111,0
222,953,751,476.5,375.5,0.6156268874,1
223,1040,771,520,385.5,0.6711228503,0
224,1047,749,523.5,374.5,0.6987384088,0
225,1020,770,510,385,0.6558376549,0
226,993,750,496.5,375,0.6553941821,0
227,1086,788,543,394,0.6881182878,0
228,1023,757,511.5,378.5,0.6726283774,0
229,1001,716,500.5,358,0.6988331532,0
230,961,748,480.5,374,0.6278233232,1
231,1041,764,520.5,382,0.6792470456,0
232,965,727,482.5,363.5,0.6575993035,0
233,1015,764,507.5,382,0.65835296,0
234,975,763,487.5,381.5,0.6225700164,1
235,1121,795,560.5,397.5,0.7050191925,0
236,1061,765,530.5,382.5,0.6929164285,0
237,1031,771,515.5,385.5,0.6639041785,0
238,1021,763,510.5,381.5,0.6644794219,0
239,1078,758,539,379,0.7110375995,0
240,1038,753,519,376.5,0.688292234,0
241,1042,773,521,386.5,0.6705740388,0
242,938,775,469,387.5,0.5633387753,1
243,1080,810,540,405,0.6614378278,0
244,1053,763,526.5,381.5,0.6891734686,0
245,1034,794,517,397,0.6405797089,1
246,1003,771,501.5,385.5,0.6396168072,1
247,1087,788,543.5,394,0.6888214872,0
248,1000,784,500,392,0.6207608235,1
249,998,759,499,379.5,0.6493132869,0
250,952,693,476,346.5,0.6856395872,0
251,1068,717,534,358.5,0.741141984,0
252,1003,731,501.5,365.5,0.6847121992,0
253,1072,783,536,391.5,0.6830084756,0
254,960,752,480,376,0.6216018733,1
255,1055,758,527.5,379,0.6955440937,0
256,997,768,498.5,384,0.6376684615,1
257,966,774,483,387,0.5983401033,1
258,976,774,488,387,0.6091789548,1
259,989,733,494.5,366.5,0.6713365071,0
260,1031,740,515.5,370,0.6963011458,0
261,1052,756,526,378,0.6953914214,0
262,941,756,470.5,378,0.5954388428,1
263,1105,782,552.5,391,0.7065207694,0
264,983,727,491.5,363.5,0.673076643,0
265,966,755,483,377.5,0.6238131657,1
266,959,765,479.5,382.5,0.6030466212,1
267,1100,756,550,378,0.7263994757,0
268,1047,781,523.5,390.5,0.6660122731,0
269,982,758,491,379,0.6357511369,1
270,946,716,473,358,0.6535642546,0
271,1042,728,521,364,0.7154573313,0
272,994,738,497,369,0.669896243,0
273,995,747,497.5,373.5,0.6605821513,0
274,1025,732,512.5,366,0.6999964307,0
275,999,758,499.5,379,0.6513717418,0
276,971,763,485.5,381.5,0.6184961266,1
277,1024,793,512,396.5,0.6326791128,1
278,956,757,478,378.5,0.6107272911,1
279,1104,783,552,391.5,0.7049679822,0
280,1016,724,508,362,0.701572152,0
